group,seed,strategies,trust_budget_init,enable_r1,payoff_avg,eta_global,eta_final,total_heat,heat_efficiency,nash_lock_rate,up_attempt_rate,up_success_rate,r1_pct,eta_first_half,eta_second_half,exploitation_rate,unilateral_invite_count,joint_enter_count,heat_wasted_unilateral
G3_R1_tb2,4,aggressive-cautious,2,True,2.775,0.5,0.46,198,396.0,0.1,0.15,0.3333333333333333,0.15,0.62,0.38,0.35,2,1,6
G4_R1_tb4,0,aggressive-cautious,4,True,3.125,0.5800000000000001,0.16000000000000003,225,387.93103448275855,0.0,0.25,0.4,0.3,0.72,0.44,0.35,3,2,9
G4_R1_tb4,1,aggressive-cautious,4,True,2.7,0.32,0.4,198,618.75,0.0,0.25,0.0,0,0.16,0.48000000000000004,0.6,5,0,15
G4_R1_tb4,2,aggressive-cautious,4,True,2.8,0.405,1.0,191,471.6049382716049,0.05,0.1,0.5,0.15,0.27,0.54,0.5,1,1,3
G4_R1_tb4,3,aggressive-cautious,4,True,2.65,0.24000000000000002,0.0,190,791.6666666666666,0.0,0.2,0.0,0,0.32,0.16,0.7,4,0,12
G4_R1_tb4,4,aggressive-cautious,4,True,2.775,0.5,0.09,216,432.0,0.1,0.3,0.16666666666666666,0.15,0.62,0.38,0.35,5,1,15
G5_R1_tb6,0,aggressive-cautious,6,True,3.125,0.5800000000000001,0.16000000000000003,225,387.93103448275855,0.0,0.25,0.4,0.3,0.72,0.44,0.35,3,2,9
G5_R1_tb6,1,aggressive-cautious,6,True,2.7,0.32,0.4,198,618.75,0.0,0.25,0.0,0,0.16,0.48000000000000004,0.6,5,0,15
G5_R1_tb6,2,aggressive-cautious,6,True,2.8,0.405,1.0,191,471.6049382716049,0.05,0.1,0.5,0.15,0.27,0.54,0.5,1,1,3
G5_R1_tb6,3,aggressive-cautious,6,True,2.65,0.24000000000000002,0.0,190,791.6666666666666,0.0,0.2,0.0,0,0.32,0.16,0.7,4,0,12
G5_R1_tb6,4,aggressive-cautious,6,True,2.775,0.5,0.09,216,432.0,0.1,0.3,0.16666666666666666,0.15,0.62,0.38,0.35,5,1,15
G1_R0_only,0,adaptive-adaptive,0,False,2.925,0.68,0.0,177,260.2941176470588,0.0,0.0,0.0,0,0.8,0.56,0.15,0,0,0
G1_R0_only,1,adaptive-adaptive,0,False,1.4,0.4,0.3,148,370.0,0.8,0.0,0.0,0,0.5,0.3,0.0,0,0,0
G1_R0_only,2,adaptive-adaptive,0,False,1.1,0.325,0.3,142,436.9230769230769,0.95,0.0,0.0,0,0.35,0.3,0.0,0,0,0
G1_R0_only,3,adaptive-adaptive,0,False,2.55,0.08,0.0,162,2025.0,0.0,0.0,0.0,0,0.16,0.0,0.9,0,0,0
G1_R0_only,4,adaptive-adaptive,0,False,1.95,0.2,0.3,154,770.0,0.4,0.0,0.0,0,0.16,0.24,0.5,0,0,0
G2_R1_tb0,0,adaptive-adaptive,0,True,2.925,0.68,0.0,177,260.2941176470588,0.0,0.0,0.0,0,0.8,0.56,0.15,0,0,0
G2_R1_tb0,1,adaptive-adaptive,0,True,1.4,0.4,0.3,148,370.0,0.8,0.0,0.0,0,0.5,0.3,0.0,0,0,0
G2_R1_tb0,2,adaptive-adaptive,0,True,1.1,0.325,0.3,142,436.9230769230769,0.95,0.0,0.0,0,0.35,0.3,0.0,0,0,0
G2_R1_tb0,3,adaptive-adaptive,0,True,2.55,0.08,0.0,162,2025.0,0.0,0.0,0.0,0,0.16,0.0,0.9,0,0,0
G2_R1_tb0,4,adaptive-adaptive,0,True,1.95,0.2,0.3,154,770.0,0.4,0.0,0.0,0,0.16,0.24,0.5,0,0,0
G3_R1_tb2,0,adaptive-adaptive,2,True,3.225,0.74,0.0,211,285.13513513513516,0.0,0.1,1.0,0.3,0.92,0.56,0.15,0,2,0
G3_R1_tb2,1,adaptive-adaptive,2,True,1.45,0.42,0.3,162,385.7142857142857,0.8,0.05,1.0,0.1,0.54,0.3,0.0,0,1,0
G3_R1_tb2,2,adaptive-adaptive,2,True,1.1,0.325,0.3,142,436.9230769230769,0.95,0.0,0.0,0,0.35,0.3,0.0,0,0,0
G3_R1_tb2,3,adaptive-adaptive,2,True,1.5,0.29,0.3,166,572.4137931034484,0.7,0.15,0.0,0,0.28,0.3,0.2,3,0,9
G3_R1_tb2,4,adaptive-adaptive,2,True,1.5,0.29,0.3,166,572.4137931034484,0.7,0.15,0.0,0,0.28,0.3,0.2,3,0,9
G4_R1_tb4,0,adaptive-adaptive,4,True,3.525,0.8,0.0,245,306.25,0.0,0.2,1.0,0.6,0.92,0.68,0.15,0,4,0
G4_R1_tb4,1,adaptive-adaptive,4,True,1.825,0.41,0.3,178,434.1463414634147,0.6,0.1,1.0,0.15,0.52,0.3,0.15,0,2,0
G4_R1_tb4,2,adaptive-adaptive,4,True,1.1,0.325,0.3,142,436.9230769230769,0.95,0.0,0.0,0,0.35,0.3,0.0,0,0,0
G4_R1_tb4,3,adaptive-adaptive,4,True,1.5,0.29,0.3,166,572.4137931034484,0.7,0.15,0.0,0,0.28,0.3,0.2,3,0,9
G4_R1_tb4,4,adaptive-adaptive,4,True,1.5,0.29,0.3,166,572.4137931034484,0.7,0.15,0.0,0,0.28,0.3,0.2,3,0,9
G5_R1_tb6,0,adaptive-adaptive,6,True,3.675,0.9,0.8,261,290.0,0.0,0.25,1.0,0.7,0.92,0.88,0.05,0,5,0
G5_R1_tb6,1,adaptive-adaptive,6,True,1.825,0.41,0.3,178,434.1463414634147,0.6,0.1,1.0,0.15,0.52,0.3,0.15,0,2,0
G5_R1_tb6,2,adaptive-adaptive,6,True,1.1,0.325,0.3,142,436.9230769230769,0.95,0.0,0.0,0,0.35,0.3,0.0,0,0,0
G5_R1_tb6,3,adaptive-adaptive,6,True,1.5,0.29,0.3,166,572.4137931034484,0.7,0.15,0.0,0,0.28,0.3,0.2,3,0,9
G5_R1_tb6,4,adaptive-adaptive,6,True,1.5,0.29,0.3,166,572.4137931034484,0.7,0.15,0.0,0,0.28,0.3,0.2,3,0,9
